#x	y	z	Bx	Bx_err	By	By_err	Bz	Bz_err
-0.06	0	-0.06	3.02287e-07	9.27125e-16	5.32561e-23	8.55318e-21	1.16373e-07	8.45728e-16
-0.06	0	-0.0588	3.12056e-07	1.28014e-15	1.44071e-23	8.64624e-21	1.14036e-07	1.18932e-15
-0.06	0	-0.0576	3.22047e-07	1.76903e-15	-1.9881e-23	8.73726e-21	1.11308e-07	1.67452e-15
-0.06	0	-0.0564	3.3225e-07	2.44634e-15	2.87711e-23	8.8259e-21	1.08158e-07	2.36022e-15
-0.06	0	-0.0552	3.42652e-07	3.38478e-15	4.58408e-23	8.91183e-21	1.04555e-07	3.32987e-15
-0.06	0	-0.054	3.53238e-07	4.68498e-15	4.2282e-23	8.99466e-21	1.00465e-07	4.70168e-15
-0.06	0	-0.0528	3.63992e-07	6.48592e-15	5.25725e-23	9.074e-21	9.58545e-08	6.64296e-15
-0.06	0	-0.0516	3.74892e-07	8.97924e-15	3.33731e-23	9.14942e-21	9.06876e-08	9.39032e-15
-0.06	0	-0.0504	3.85914e-07	1.24287e-14	3.26397e-23	9.22045e-21	8.49272e-08	1.3278e-14
-0.06	0	-0.0492	3.9703e-07	1.71961e-14	4.66263e-23	9.28661e-21	7.85351e-08	1.87774e-14
-0.06	0	-0.048	4.08208e-07	2.3777e-14	4.53847e-24	9.34739e-21	7.14724e-08	2.65521e-14
-0.06	0	-0.0468	4.1941e-07	3.28469e-14	7.1409e-23	9.40221e-21	6.36993e-08	3.75345e-14
-0.06	0	-0.0456	4.30595e-07	4.53241e-14	3.04883e-23	9.45051e-21	5.51757e-08	5.30306e-14
-0.06	0	-0.0444	4.41716e-07	6.24506e-14	4.45105e-24	9.49165e-21	4.58611e-08	7.48654e-14
-0.06	0	-0.0432	4.5272e-07	8.58983e-14	1.24446e-23	9.52499e-21	3.57158e-08	1.05579e-13
-0.06	0	-0.042	4.63549e-07	1.17905e-13	7.74845e-23	9.54983e-21	2.47004e-08	1.48695e-13
-0.06	0	-0.0408	4.74136e-07	1.61448e-13	2.48615e-23	9.56547e-21	1.27771e-08	2.09078e-13
-0.06	0	-0.0396	4.8441e-07	2.20457e-13	6.89329e-23	9.57113e-21	-9.00572e-11	2.93409e-13
-0.06	0	-0.0384	4.94292e-07	3.0008e-13	2.81077e-23	9.56605e-21	-1.39344e-08	4.10819e-13
-0.06	0	-0.0372	5.03696e-07	4.06999e-13	3.22512e-23	9.54941e-21	-2.87857e-08	5.737e-13
-0.06	0	-0.036	5.12528e-07	5.49798e-13	1.98668e-23	9.52037e-21	-4.46693e-08	7.9876e-13
-0.06	0	-0.0348	5.20687e-07	7.39374e-13	7.19838e-23	9.47807e-21	-6.16053e-08	1.10835e-12
-0.06	0	-0.0336	5.28065e-07	9.89377e-13	4.08608e-23	9.42163e-21	-7.96072e-08	1.53209e-12
-0.06	0	-0.0324	5.34546e-07	1.31665e-12	-8.74744e-25	9.35016e-21	-9.86807e-08	2.10889e-12
-0.06	0	-0.0312	5.40009e-07	1.74162e-12	-5.30465e-25	9.26277e-21	-1.18823e-07	2.8893e-12
-0.06	0	-0.03	5.44325e-07	2.28851e-12	5.24621e-23	9.15856e-21	-1.40019e-07	3.93819e-12
-0.06	0	-0.0288	5.4736e-07	2.98544e-12	7.15217e-23	9.03664e-21	-1.62245e-07	5.33769e-12
-0.06	0	-0.0276	5.48976e-07	3.86396e-12	3.79694e-23	8.89615e-21	-1.85461e-07	7.18525e-12
-0.06	0	-0.0264	5.49034e-07	4.95829e-12	-1.5203e-23	8.73626e-21	-2.09615e-07	9.60733e-12
-0.06	0	-0.0252	5.47391e-07	6.30126e-12	4.70186e-23	8.55617e-21	-2.34636e-07	1.27538e-11
-0.06	0	-0.024	5.43905e-07	7.92516e-12	4.35853e-23	8.35517e-21	-2.60439e-07	1.68002e-11
-0.06	0	-0.0228	5.3844e-07	9.85988e-12	2.98227e-23	8.13259e-21	-2.86918e-07	2.19471e-11
-0.06	0	-0.0216	5.30863e-07	1.2124e-11	1.92083e-23	7.88787e-21	-3.1395e-07	2.84172e-11
-0.06	0	-0.0204	5.2105e-07	1.47209e-11	5.37711e-23	7.62055e-21	-3.4139e-07	3.64476e-11
-0.06	0	-0.0192	5.08891e-07	1.76326e-11	1.85445e-23	7.3303e-21	-3.69076e-07	4.62791e-11
-0.06	0	-0.018	4.94288e-07	2.08129e-11	4.14665e-23	7.01693e-21	-3.96823e-07	5.81395e-11
-0.06	0	-0.0168	4.77166e-07	2.41817e-11	3.43548e-23	6.68041e-21	-4.24431e-07	7.22219e-11
-0.06	0	-0.0156	4.57469e-07	2.76207e-11	-2.17538e-24	6.32089e-21	-4.51681e-07	8.86591e-11
-0.06	0	-0.0144	4.35171e-07	3.09715e-11	3.69821e-24	5.9387e-21	-4.78339e-07	1.07493e-10
